session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access
sess_1001,612,HTTPS,1,183,TLS 1.2,90.2,0,Firefox,1
sess_1002,330,HTTPS,3,295,AES-256,71.5,0,Firefox,0
sess_1003,1055,TCP,3,1374,AES-256,79.2,0,Firefox,1
sess_1004,380,HTTP,1,2515,None,81.1,0,Firefox,1
sess_1005,385,FTP,3,1149,AES-256,83.3,0,Safari,1
sess_1006,579,TCP,3,1429,TLS 1.2,93.6,0,Edge,1
sess_1007,1176,HTTPS,2,1887,AES-256,88.8,0,Firefox,0
sess_1008,609,HTTPS,2,1204,AES-256,92.4,0,Unknown-Bot,1
sess_1009,425,FTP,3,2482,TLS 1.3,87.6,0,Chrome,0
sess_1010,595,HTTPS,1,2972,None,95.9,0,Chrome,0
sess_1011,342,TCP,1,289,AES-256,92.6,0,Unknown-Bot,0
sess_1012,509,SSH,3,2456,None,71.4,0,Edge,1
sess_1013,886,UDP,3,1544,None,92.4,0,Edge,1
sess_1014,879,FTP,3,2907,TLS 1.3,94.2,0,Chrome,0
sess_1015,991,TCP,1,1233,AES-256,90.7,0,Chrome,0
sess_1016,880,TCP,1,2900,AES-256,83.9,0,Firefox,0
sess_1017,1027,HTTP,3,2503,None,78.2,0,Chrome,0
sess_1018,610,UDP,2,1935,None,95.7,0,Unknown-Bot,0
sess_1019,593,UDP,3,2212,AES-256,91.8,0,Chrome,0
sess_1020,918,TCP,3,79,TLS 1.3,95.8,0,Safari,0
sess_1021,1032,UDP,1,1748,AES-256,77.5,0,Safari,0
sess_1022,320,TCP,2,2861,None,89.5,0,Unknown-Bot,0
sess_1023,1190,UDP,1,3565,TLS 1.2,76.9,0,Chrome,0
sess_1024,1185,TCP,1,140,TLS 1.2,82.5,0,Chrome,0
sess_1025,1050,UDP,6,59,TLS 1.3,95.7,6,Safari,0
sess_1026,958,SSH,5,1344,AES-256,77.7,4,Edge,0
sess_1027,1007,TCP,7,1906,AES-256,71.5,7,Edge,0
sess_1028,696,SSH,6,3397,None,76.1,5,Edge,0
sess_1029,630,TCP,12,425,AES-256,76.1,1,Unknown-Bot,0
sess_1030,1088,UDP,4,1853,AES-256,77.4,4,Edge,0
sess_1031,999,TCP,16,574,None,87.3,3,Unknown-Bot,0
sess_1032,333,FTP,10,586,None,79.1,6,Chrome,1
sess_1033,527,FTP,4,657,None,90.5,3,Chrome,1
sess_1034,568,FTP,6,1770,AES-256,74.2,1,Unknown-Bot,1
sess_1035,977,FTP,5,1884,AES-256,96.3,2,Unknown-Bot,0
sess_1036,935,TCP,14,2486,AES-256,77.1,3,Unknown-Bot,0
sess_1037,1133,TCP,7,1366,None,92.0,2,Safari,0
sess_1038,746,SSH,11,2884,None,80.1,1,Safari,1
sess_1039,547,HTTP,13,3178,AES-256,87.8,7,Firefox,0
sess_1040,699,HTTP,6,1068,None,74.8,1,Unknown-Bot,0
sess_1041,1093,TCP,6,2578,TLS 1.3,83.6,3,Chrome,0
sess_1042,1123,HTTPS,13,972,TLS 1.2,87.5,4,Chrome,0
sess_1043,835,HTTPS,15,2989,TLS 1.2,95.6,14,Chrome,0
sess_1044,948,SSH,16,1903,None,86.7,13,Edge,0
sess_1045,837,TCP,12,963,TLS 1.3,78.8,9,Unknown-Bot,1
sess_1046,626,FTP,8,574,TLS 1.3,89.0,5,Chrome,1
sess_1047,852,SSH,3,3221,TLS 1.3,73.9,2,Safari,0
sess_1048,671,HTTP,8,1599,AES-256,71.1,8,Unknown-Bot,0
sess_1049,1081,HTTP,14,3311,TLS 1.2,90.9,3,Edge,0
sess_1050,10640,TCP,10,3507,None,21.8,4,Chrome,1
sess_1051,6016,HTTP,8,2203,AES-256,60.1,2,Unknown-Bot,1
sess_1052,7569,HTTP,5,713,TLS 1.3,61.9,4,Safari,1
sess_1053,6506,TCP,19,579,TLS 1.2,28.3,7,Chrome,1
sess_1054,11492,FTP,15,2765,TLS 1.3,49.8,7,Safari,1
