timestamp,source_ip,network_packet_size,failed_logins,attack_stage
2026-09-09T10:00:00,10.0.0.1,420,0,Normal Traffic
2026-09-09T10:01:00,10.0.0.2,450,0,Normal Traffic
2026-09-09T10:02:00,10.0.0.3,480,1,Normal Traffic
2026-09-09T10:03:00,10.0.0.4,510,0,Normal Traffic
2026-09-09T10:04:00,10.0.0.5,540,1,Normal Traffic
2026-09-09T10:05:00,10.0.0.6,570,0,Normal Traffic
2026-09-09T10:06:00,10.0.0.7,600,1,Normal Traffic
2026-09-09T10:07:00,10.0.0.8,630,0,Normal Traffic
2026-09-09T10:08:00,10.0.0.9,660,1,Normal Traffic
2026-09-09T10:09:00,10.0.0.10,690,0,Normal Traffic
2026-09-09T10:10:00,10.0.0.11,720,1,Normal Traffic
2026-09-09T10:11:00,10.0.0.12,750,0,Normal Traffic
2026-09-09T10:12:00,10.0.0.13,780,1,Normal Traffic
2026-09-09T10:13:00,10.0.0.14,810,0,Normal Traffic
2026-09-09T10:14:00,10.0.0.15,840,1,Normal Traffic
2026-09-09T10:15:00,10.0.0.16,870,0,Normal Traffic
2026-09-09T10:16:00,10.0.0.17,900,1,Normal Traffic
2026-09-09T10:17:00,10.0.0.18,930,0,Normal Traffic
2026-09-09T10:18:00,10.0.0.19,960,1,Normal Traffic
2026-09-09T10:19:00,10.0.0.20,990,0,Normal Traffic
2026-09-09T10:20:00,10.0.0.21,1020,1,Port Scanning
2026-09-09T10:21:00,10.0.0.22,1050,1,Port Scanning
2026-09-09T10:22:00,10.0.0.23,1080,2,Port Scanning
2026-09-09T10:23:00,10.0.0.24,1110,1,Port Scanning
2026-09-09T10:24:00,10.0.0.25,1140,2,Port Scanning
2026-09-09T10:25:00,10.0.0.26,1170,1,Port Scanning
2026-09-09T10:26:00,10.0.0.27,1200,2,Port Scanning
2026-09-09T10:27:00,10.0.0.28,1230,1,Port Scanning
2026-09-09T10:28:00,10.0.0.29,1260,2,Port Scanning
2026-09-09T10:29:00,10.0.0.30,1290,1,Port Scanning
2026-09-09T10:30:00,10.0.0.31,1320,2,Port Scanning
2026-09-09T10:31:00,10.0.0.32,1350,1,Port Scanning
2026-09-09T10:32:00,10.0.0.33,1380,2,Port Scanning
2026-09-09T10:33:00,10.0.0.34,1410,1,Port Scanning
2026-09-09T10:34:00,10.0.0.35,1440,2,Port Scanning
2026-09-09T10:35:00,10.0.0.36,1470,1,Port Scanning
2026-09-09T10:36:00,10.0.0.37,1500,2,Port Scanning
2026-09-09T10:37:00,10.0.0.38,1530,1,Port Scanning
2026-09-09T10:38:00,10.0.0.39,1560,2,Port Scanning
2026-09-09T10:39:00,10.0.0.40,1590,1,Port Scanning
2026-09-09T10:40:00,10.0.0.41,1620,3,Suspicious Login
2026-09-09T10:41:00,10.0.0.42,1680,4,Suspicious Login
2026-09-09T10:42:00,10.0.0.43,1740,5,Suspicious Login
2026-09-09T10:43:00,10.0.0.44,1800,6,Suspicious Login
2026-09-09T10:44:00,10.0.0.45,1860,7,Suspicious Login
2026-09-09T10:45:00,10.0.0.46,1920,8,Suspicious Login
2026-09-09T10:46:00,10.0.0.47,1980,9,Suspicious Login
2026-09-09T10:47:00,10.0.0.48,2040,10,Suspicious Login
2026-09-09T10:48:00,10.0.0.49,2100,11,Suspicious Login
2026-09-09T10:49:00,10.0.0.50,2160,12,Suspicious Login
2026-09-09T10:50:00,10.0.0.51,2220,13,Suspicious Login
2026-09-09T10:51:00,10.0.0.52,2280,14,Suspicious Login
2026-09-09T10:52:00,10.0.0.53,2340,15,Suspicious Login
2026-09-09T10:53:00,10.0.0.54,2400,16,Suspicious Login
2026-09-09T10:54:00,10.0.0.55,2460,17,Suspicious Login
2026-09-09T10:55:00,10.0.0.56,2520,18,Suspicious Login
2026-09-09T10:56:00,10.0.0.57,2580,19,Suspicious Login
2026-09-09T10:57:00,10.0.0.58,2640,20,Suspicious Login
2026-09-09T10:58:00,10.0.0.59,2700,21,Suspicious Login
2026-09-09T10:59:00,10.0.0.60,2760,22,Suspicious Login
2026-09-09T11:00:00,10.0.0.61,2820,23,Privilege Escalation
2026-09-09T11:01:00,10.0.0.62,2880,24,Privilege Escalation
2026-09-09T11:02:00,10.0.0.63,2940,25,Privilege Escalation
2026-09-09T11:03:00,10.0.0.64,3000,26,Privilege Escalation
2026-09-09T11:04:00,10.0.0.65,3060,27,Privilege Escalation
2026-09-09T11:05:00,10.0.0.66,3120,28,Privilege Escalation
2026-09-09T11:06:00,10.0.0.67,3180,29,Privilege Escalation
2026-09-09T11:07:00,10.0.0.68,3240,30,Privilege Escalation
2026-09-09T11:08:00,10.0.0.69,3300,31,Privilege Escalation
2026-09-09T11:09:00,10.0.0.70,3360,32,Privilege Escalation
2026-09-09T11:10:00,10.0.0.71,3420,33,Privilege Escalation
2026-09-09T11:11:00,10.0.0.72,3480,34,Privilege Escalation
2026-09-09T11:12:00,10.0.0.73,3540,35,Privilege Escalation
2026-09-09T11:13:00,10.0.0.74,3600,36,Privilege Escalation
2026-09-09T11:14:00,10.0.0.75,3660,37,Privilege Escalation
2026-09-09T11:15:00,10.0.0.76,3720,38,Privilege Escalation
2026-09-09T11:16:00,10.0.0.77,3780,39,Privilege Escalation
2026-09-09T11:17:00,10.0.0.78,3840,40,Privilege Escalation
2026-09-09T11:18:00,10.0.0.79,3900,41,Privilege Escalation
2026-09-09T11:19:00,10.0.0.80,3960,42,Privilege Escalation
2026-09-09T11:20:00,10.0.0.81,4020,43,Data Exfiltration
2026-09-09T11:21:00,10.0.0.82,4080,44,Data Exfiltration
2026-09-09T11:22:00,10.0.0.83,4140,45,Data Exfiltration
2026-09-09T11:23:00,10.0.0.84,4200,46,Data Exfiltration
2026-09-09T11:24:00,10.0.0.85,4260,47,Data Exfiltration
2026-09-09T11:25:00,10.0.0.86,4320,48,Data Exfiltration
2026-09-09T11:26:00,10.0.0.87,4380,49,Data Exfiltration
2026-09-09T11:27:00,10.0.0.88,4440,50,Data Exfiltration
2026-09-09T11:28:00,10.0.0.89,4500,51,Data Exfiltration
2026-09-09T11:29:00,10.0.0.90,4560,52,Data Exfiltration
2026-09-09T11:30:00,10.0.0.91,4620,53,Data Exfiltration
2026-09-09T11:31:00,10.0.0.92,4680,54,Data Exfiltration
2026-09-09T11:32:00,10.0.0.93,4740,55,Data Exfiltration
2026-09-09T11:33:00,10.0.0.94,4800,56,Data Exfiltration
2026-09-09T11:34:00,10.0.0.95,4860,57,Data Exfiltration
2026-09-09T11:35:00,10.0.0.96,4920,58,Data Exfiltration
2026-09-09T11:36:00,10.0.0.97,4980,59,Data Exfiltration
2026-09-09T11:37:00,10.0.0.98,5040,60,Data Exfiltration
2026-09-09T11:38:00,10.0.0.99,5100,61,Data Exfiltration
2026-09-09T11:39:00,10.0.0.100,5160,62,Data Exfiltration
