timestamp,source_ip,network_packet_size,failed_logins,attack_stage
2026-09-09T12:00:00,192.168.1.1,220,0,Normal Traffic
2026-09-09T12:01:00,192.168.1.2,225,0,Normal Traffic
2026-09-09T12:02:00,192.168.1.3,230,0,Normal Traffic
2026-09-09T12:03:00,192.168.1.4,235,0,Normal Traffic
2026-09-09T12:04:00,192.168.1.5,240,0,Normal Traffic
2026-09-09T12:05:00,192.168.1.6,245,0,Normal Traffic
2026-09-09T12:06:00,192.168.1.7,250,0,Normal Traffic
2026-09-09T12:07:00,192.168.1.8,255,0,Normal Traffic
2026-09-09T12:08:00,192.168.1.9,260,0,Normal Traffic
2026-09-09T12:09:00,192.168.1.10,265,0,Normal Traffic
2026-09-09T12:10:00,192.168.1.11,270,0,Normal Traffic
2026-09-09T12:11:00,192.168.1.12,275,0,Normal Traffic
2026-09-09T12:12:00,192.168.1.13,280,0,Normal Traffic
2026-09-09T12:13:00,192.168.1.14,285,0,Normal Traffic
2026-09-09T12:14:00,192.168.1.15,290,0,Normal Traffic
2026-09-09T12:15:00,192.168.1.16,295,0,Normal Traffic
2026-09-09T12:16:00,192.168.1.17,300,0,Normal Traffic
2026-09-09T12:17:00,192.168.1.18,305,0,Normal Traffic
2026-09-09T12:18:00,192.168.1.19,310,0,Normal Traffic
2026-09-09T12:19:00,192.168.1.20,315,0,Normal Traffic
2026-09-09T12:20:00,192.168.1.21,320,1,Normal Traffic
2026-09-09T12:21:00,192.168.1.22,325,1,Normal Traffic
2026-09-09T12:22:00,192.168.1.23,330,1,Normal Traffic
2026-09-09T12:23:00,192.168.1.24,335,1,Normal Traffic
2026-09-09T12:24:00,192.168.1.25,340,1,Normal Traffic
2026-09-09T12:25:00,192.168.1.26,345,1,Normal Traffic
2026-09-09T12:26:00,192.168.1.27,350,1,Normal Traffic
2026-09-09T12:27:00,192.168.1.28,355,1,Normal Traffic
2026-09-09T12:28:00,192.168.1.29,360,1,Normal Traffic
2026-09-09T12:29:00,192.168.1.30,365,1,Normal Traffic
2026-09-09T12:30:00,192.168.1.31,370,1,Port Scanning
2026-09-09T12:31:00,192.168.1.32,375,1,Port Scanning
2026-09-09T12:32:00,192.168.1.33,380,1,Port Scanning
2026-09-09T12:33:00,192.168.1.34,385,1,Port Scanning
2026-09-09T12:34:00,192.168.1.35,390,1,Port Scanning
2026-09-09T12:35:00,192.168.1.36,395,1,Port Scanning
2026-09-09T12:36:00,192.168.1.37,400,1,Port Scanning
2026-09-09T12:37:00,192.168.1.38,405,1,Port Scanning
2026-09-09T12:38:00,192.168.1.39,410,1,Port Scanning
2026-09-09T12:39:00,192.168.1.40,415,1,Port Scanning
2026-09-09T12:40:00,192.168.1.41,420,1,Port Scanning
2026-09-09T12:41:00,192.168.1.42,425,1,Port Scanning
2026-09-09T12:42:00,192.168.1.43,430,1,Port Scanning
2026-09-09T12:43:00,192.168.1.44,435,1,Port Scanning
2026-09-09T12:44:00,192.168.1.45,440,1,Port Scanning
2026-09-09T12:45:00,192.168.1.46,445,1,Port Scanning
2026-09-09T12:46:00,192.168.1.47,450,1,Port Scanning
2026-09-09T12:47:00,192.168.1.48,455,1,Port Scanning
2026-09-09T12:48:00,192.168.1.49,460,1,Port Scanning
2026-09-09T12:49:00,192.168.1.50,465,1,Port Scanning
2026-09-09T12:50:00,192.168.1.51,470,1,Port Scanning
2026-09-09T12:51:00,192.168.1.52,475,1,Port Scanning
2026-09-09T12:52:00,192.168.1.53,480,1,Port Scanning
2026-09-09T12:53:00,192.168.1.54,485,1,Port Scanning
2026-09-09T12:54:00,192.168.1.55,490,1,Port Scanning
2026-09-09T12:55:00,192.168.1.56,495,1,Port Scanning
2026-09-09T12:56:00,192.168.1.57,500,1,Port Scanning
2026-09-09T12:57:00,192.168.1.58,505,1,Port Scanning
2026-09-09T12:58:00,192.168.1.59,510,1,Port Scanning
2026-09-09T12:59:00,192.168.1.60,515,1,Port Scanning
2026-09-09T13:00:00,192.168.1.61,520,0,Normal Traffic
2026-09-09T13:01:00,192.168.1.62,525,0,Normal Traffic
2026-09-09T13:02:00,192.168.1.63,530,0,Normal Traffic
2026-09-09T13:03:00,192.168.1.64,535,0,Normal Traffic
2026-09-09T13:04:00,192.168.1.65,540,0,Normal Traffic
2026-09-09T13:05:00,192.168.1.66,545,0,Normal Traffic
2026-09-09T13:06:00,192.168.1.67,550,0,Normal Traffic
2026-09-09T13:07:00,192.168.1.68,555,0,Normal Traffic
2026-09-09T13:08:00,192.168.1.69,560,0,Normal Traffic
2026-09-09T13:09:00,192.168.1.70,565,0,Normal Traffic
2026-09-09T13:10:00,192.168.1.71,570,0,Normal Traffic
2026-09-09T13:11:00,192.168.1.72,575,0,Normal Traffic
2026-09-09T13:12:00,192.168.1.73,580,0,Normal Traffic
2026-09-09T13:13:00,192.168.1.74,585,0,Normal Traffic
